@relation winequality-white-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RandomSubset-N9.0-S10

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute quality {3,4,5,6,7,8,9}

@data
7,0.27,0.29,3.9,0.059,28,199,3.54,0.59,5
8.4,0.3,0.25,17.75,0.047,25,218,2.98,0.66,5
6.5,0.19,0.27,4.9,0.037,13,101,3.17,0.41,6
8,0.36,0.39,1.6,0.024,26,93,3.15,0.49,6
6.1,0.16,0.24,1.4,0.046,17,77,3.66,0.57,6
9.2,0.19,0.42,2,0.047,16,104,3.09,0.66,4
9.2,0.16,0.49,2,0.044,18,107,3.1,0.53,4
8,0.26,0.28,8.2,0.038,72,202,3.12,0.56,6
8.8,0.33,0.36,2.1,0.034,19,125,2.96,0.98,6
9.8,0.16,0.46,1.8,0.046,23,130,3.04,0.67,5
6.6,0.23,0.18,8.5,0.044,59,188,3.16,0.49,5
7.9,0.44,0.26,4.45,0.033,23,100,3.17,0.52,6
7.6,0.31,0.27,5.8,0.036,23,109,3.34,0.54,6
7.5,0.705,0.1,13,0.044,44,214,3.1,0.5,5
7.1,0.21,0.28,2.7,0.034,23,111,3.35,0.64,4
7,0.16,0.26,7.3,0.047,30,220,3.38,0.58,6
8,0.27,0.25,19.1,0.045,50,208,3.05,0.5,6
6.3,0.38,0.17,8.8,0.08,50,212,3.47,0.66,4
7.1,0.21,0.28,2.7,0.034,23,111,3.35,0.64,4
6.2,0.38,0.18,7.4,0.095,28,195,3.53,0.71,4
8.2,0.24,0.3,2.3,0.05,23,106,2.98,0.5,5
7,0.16,0.26,6.85,0.047,30,220,3.38,0.58,6
7.3,0.815,0.09,11.4,0.044,45,204,3.15,0.46,5
6.3,0.41,0.16,0.9,0.032,25,98,3.16,0.42,5
6.1,0.36,0.41,19.35,0.07,67,207,3.39,0.53,5
8.1,0.4,0.32,7.9,0.031,23,118,3.05,0.46,7
6.8,0.26,0.43,11.75,0.045,53,198,3.26,0.55,5
6.2,0.44,0.18,7.7,0.096,28,210,3.56,0.72,5
7.2,0.24,0.29,3,0.036,17,117,3.36,0.68,6
6.2,0.44,0.18,7.7,0.096,28,210,3.56,0.72,5
7.2,0.24,0.29,3,0.036,17,117,3.36,0.68,6
7.3,0.22,0.26,1.5,0.04,32,172,3.27,0.48,6
8.1,0.34,0.28,7.5,0.04,70,230,3.14,0.55,6
7.3,0.22,0.26,1.5,0.04,32,172,3.27,0.48,6
8.1,0.34,0.28,7.5,0.04,70,230,3.14,0.55,6
6.4,0.28,0.17,8.3,0.042,61,195,3.22,0.46,5
6.3,0.29,0.14,7.05,0.045,50,177,3.23,0.42,5
6.4,0.27,0.17,8.4,0.044,60,198,3.21,0.47,5
7.4,0.35,0.2,13.9,0.054,63,229,3.11,0.5,6
8.3,0.28,0.27,17.5,0.045,48,253,3.02,0.56,6
6.4,0.35,0.35,5.6,0.034,9,148,3.17,0.5,4
6.9,0.43,0.28,9.4,0.056,29,183,3.17,0.43,5
8,0.26,0.28,4.8,0.05,34,150,3.13,0.5,6
6.9,0.43,0.28,9.4,0.056,29,183,3.17,0.43,5
7.3,0.27,0.37,9.7,0.042,36,130,3.48,0.75,6
6.8,0.46,0.26,6.3,0.147,49,159,3.14,0.47,5
7.2,0.2,0.28,1.6,0.028,13,168,3.17,1.06,6
7.6,0.285,0.32,14.6,0.063,32,201,3,0.45,5
6.6,0.32,0.33,2.5,0.052,40,219.5,3.15,0.6,5
7.6,0.285,0.32,14.6,0.063,32,201,3,0.45,5
6.6,0.34,0.34,2.6,0.051,40.5,210,3.15,0.61,5
6.6,0.32,0.33,2.5,0.052,40,210,3.15,0.6,5
6.5,0.27,0.26,8.2,0.042,21,133,3.43,0.64,6
6.6,0.26,0.27,1.5,0.04,19,114,3.36,0.62,6
6.7,0.27,0.26,2.3,0.043,61,181,3.45,0.63,6
6.6,0.56,0.15,10,0.037,38,157,3.28,0.52,5
6.6,0.56,0.15,10,0.037,38,157,3.28,0.52,5
7.3,0.19,0.27,1.6,0.027,35,136,3.38,0.54,7
6.3,0.2,0.26,1.6,0.027,36,141,3.53,0.56,6
7.1,0.29,0.3,16,0.036,58,201,3.3,0.67,5
7.8,0.32,0.33,10.4,0.031,47,194,3.07,0.58,6
8.1,0.33,0.36,7.4,0.037,36,156,3.19,0.54,6
8.1,0.33,0.36,7.4,0.037,36,156,3.19,0.54,6
7.8,0.32,0.33,10.4,0.031,47,194,3.07,0.58,6
6.6,0.33,0.24,16.05,0.045,31,147,3.08,0.52,5
6.6,0.33,0.24,16.05,0.045,31,147,3.08,0.52,5
8.2,0.26,0.33,2.6,0.053,11,71,2.89,0.49,5
8.3,0.25,0.33,2.5,0.053,12,72,2.89,0.48,5
7,0.26,0.26,10.8,0.039,37,184,3.47,0.58,7
6,0.26,0.15,1.2,0.053,35,124,3.08,0.46,5
7.5,0.28,0.78,12.1,0.041,53,161,2.98,0.44,5
7.5,0.27,0.79,11.95,0.04,51,159,2.98,0.44,5
7,0.28,0.32,1.7,0.038,27,128,3.2,0.62,6
5.2,0.16,0.34,0.8,0.029,26,77,3.25,0.51,6
6.8,0.34,0.1,1.4,0.049,29,118,3.21,0.41,5
7.6,0.25,0.34,1.3,0.056,34,176,3.1,0.51,5
5.6,0.35,0.4,6.3,0.022,23,174,3.54,0.5,7
8.8,0.24,0.23,10.3,0.032,12,97,3.13,0.4,6
6,0.29,0.21,15.55,0.043,20,142,3.11,0.54,6
6.1,0.27,0.31,1.5,0.035,17,83,3.32,0.44,7
7.4,0.56,0.09,1.5,0.071,19,117,3.22,0.53,5
6.8,0.29,0.49,1.4,0.142,52,148,3.08,0.49,6
6.1,0.27,0.31,1.5,0.035,17,83,3.32,0.44,7
6.3,0.27,0.37,7.9,0.047,58,215,3.19,0.48,6
6.6,0.24,0.3,13,0.052,18,143,3.37,0.49,6
6.8,0.32,0.3,1,0.049,22,113,3.24,0.61,5
6.4,0.37,0.37,4.85,0.041,39.5,216.5,3.1,0.5,6
6.2,0.26,0.37,7.1,0.047,54,201,3.19,0.48,6
6.3,0.27,0.37,7.9,0.047,58,215,3.19,0.48,6
6.4,0.3,0.16,7.5,0.05,55,191,3.17,0.49,5
8,0.28,0.32,7.6,0.045,61,204,3.1,0.55,6
6.7,0.24,0.32,10.3,0.079,37,122,3.02,0.45,5
7.9,0.27,0.27,1.7,0.034,25,122,2.97,0.51,6
7.9,0.27,0.27,1.7,0.034,25,122,2.97,0.51,6
6.1,0.28,0.24,19.95,0.074,32,174,3.19,0.44,6
7.7,0.39,0.49,7.7,0.036,11,110,3.33,0.76,6
6,0.2,0.24,5.3,0.075,49,201,3.21,0.43,5
6.1,0.28,0.24,19.95,0.074,32,174,3.19,0.44,6
7.6,0.31,0.23,12.7,0.054,20,139,3.16,0.5,4
7.6,0.31,0.23,12.7,0.054,20,139,3.16,0.5,4
6.3,0.18,0.22,1.5,0.043,45,155,3.19,0.48,5
8.6,0.23,0.25,11.3,0.031,13,96,3.11,0.4,5
6.8,0.21,0.36,18.1,0.046,32,133,3.27,0.48,5
6.8,0.21,0.36,18.1,0.046,32,133,3.27,0.48,5
6.9,0.26,0.31,7,0.039,37,175,3.32,0.49,6
6.8,0.21,0.36,18.1,0.046,32,133,3.27,0.48,5
6.4,0.31,0.4,6.4,0.039,39,191,3.14,0.52,5
8.6,0.34,0.36,1.4,0.045,11,119,3.17,0.47,4
8.6,0.34,0.36,1.4,0.045,11,119,3.17,0.47,4
8.5,0.3,0.28,3.1,0.054,54,174,3.21,0.43,6
7.4,0.4,0.41,14.1,0.053,37,194,3.2,0.63,6
6.6,0.32,0.34,7.7,0.044,63,212,3.22,0.48,6
7.1,0.34,0.31,5.2,0.032,36,140,3.35,0.47,7
6.6,0.26,0.25,11.6,0.045,45,178,3.33,0.43,6
8,0.27,0.57,10.4,0.053,18,134,3.12,0.68,5
6.2,0.28,0.45,7.5,0.045,46,203,3.26,0.46,6
6.2,0.3,0.49,11.2,0.058,68,215,3.19,0.6,6
5.6,0.175,0.29,0.8,0.043,20,67,3.28,0.48,6
6.9,0.34,0.36,1.4,0.032,13,145,3.07,0.52,5
6.9,0.34,0.3,4.7,0.029,34,148,3.36,0.49,7
7.1,0.12,0.3,3.1,0.018,15,37,3.02,0.52,7
7.1,0.32,0.29,4,0.038,33,170,3.27,0.64,6
7.3,0.51,0.29,11.3,0.034,61,224,3.14,0.56,6
7.1,0.12,0.3,3.1,0.018,15,37,3.02,0.52,7
6.3,0.24,0.55,8.1,0.04,67,216,3.24,0.5,5
7.5,0.41,0.23,14.8,0.054,28,174,3.18,0.49,5
6.5,0.18,0.33,1.4,0.029,35,138,3.36,0.6,7
7.3,0.17,0.24,8.1,0.121,32,162,3.17,0.38,8
8.2,0.2,0.38,3.5,0.053,41,174,3.22,0.41,5
7.5,0.41,0.23,14.8,0.054,28,174,3.18,0.49,5
7.3,0.17,0.24,8.1,0.121,32,162,3.17,0.38,8
6.5,0.18,0.33,1.4,0.029,35,138,3.36,0.6,7
7.3,0.16,0.35,1.5,0.036,29,108,3.27,0.51,6
6.4,0.16,0.37,1.5,0.037,27,109,3.38,0.5,6
6.6,0.42,0.13,12.8,0.044,26,158,3.24,0.47,5
5.8,0.3,0.12,1.6,0.036,57,163,3.38,0.59,6
6.7,0.54,0.27,7.1,0.049,8,178,3.16,0.38,4
6.7,0.54,0.27,7.1,0.049,8,178,3.16,0.38,4
6.4,0.22,0.3,11.2,0.046,53,149,3.21,0.34,5
6.8,0.23,0.3,1.7,0.043,19,95,3.17,0.46,7
9,0.26,0.34,6.7,0.029,21,162,3.08,0.5,6
6.5,0.23,0.25,17.3,0.046,15,110,3.15,0.42,6
5.9,0.28,0.14,8.6,0.032,30,142,3.28,0.44,6
5.9,0.28,0.14,8.6,0.032,30,142,3.28,0.44,6
6.2,0.27,0.18,1.5,0.028,20,111,3.41,0.5,5
9,0.29,0.34,12.1,0.03,34,177,3.13,0.47,5
9,0.26,0.34,6.7,0.029,21,162,3.08,0.5,6
8.9,0.27,0.34,10.7,0.029,19.5,166,3.13,0.48,5
6.5,0.23,0.25,17.3,0.046,15,110,3.15,0.42,6
6.9,0.32,0.3,1.8,0.036,28,117,3.24,0.48,6
7.2,0.22,0.24,1.4,0.041,17,159,3.25,0.53,6
6.7,0.5,0.38,7.5,0.046,26,175,3.32,0.54,5
6.2,0.33,0.14,4.8,0.052,27,128,3.21,0.48,5
6.3,0.26,0.42,7.1,0.045,62,209,3.2,0.53,6
7.5,0.2,0.47,16.9,0.052,51,188,3.09,0.62,5
6.2,0.33,0.14,4.8,0.052,27,128,3.21,0.48,5
6.3,0.26,0.42,7.1,0.045,62,209,3.2,0.53,6
6.6,0.36,0.52,11.3,0.046,8,110,3.07,0.46,5
6.3,0.13,0.42,1.1,0.043,63,146,3.13,0.72,7
6.4,0.15,0.44,1.2,0.043,67,150,3.14,0.73,7
6.3,0.13,0.42,1.1,0.043,63,146,3.13,0.72,7
7.6,0.23,0.64,12.9,0.033,54,170,3,0.53,5
6.4,0.15,0.44,1.2,0.043,67,150,3.14,0.73,7
6.3,0.13,0.42,1.1,0.043,63,146,3.13,0.72,7
5.7,0.255,0.65,1.2,0.079,17,137,3.2,0.42,5
6.9,0.32,0.26,2.3,0.03,11,103,3.06,0.42,6
6.9,0.28,0.22,10,0.052,36,131,3.08,0.46,5
6.9,0.32,0.26,2.3,0.03,11,103,3.06,0.42,6
5.7,0.255,0.65,1.2,0.079,17,137,3.2,0.42,5
6.6,0.41,0.16,1.4,0.037,28,160,2.95,0.45,6
7.3,0.37,0.16,14.9,0.048,59,240,3.13,0.45,5
6.9,0.21,0.24,1.8,0.021,17,80,3.15,0.46,7
6.6,0.24,0.28,1.8,0.028,39,132,3.34,0.46,5
6.8,0.28,0.36,7,0.043,60,207,3.16,0.49,6
6.6,0.24,0.24,8.6,0.034,25,135,3.33,0.59,6
6.6,0.24,0.28,1.8,0.028,39,132,3.34,0.46,5
7,0.16,0.32,1.1,0.032,29,80,3.23,0.36,6
7,0.14,0.28,1.3,0.026,10,56,3.46,0.45,5
6.3,0.34,0.36,4.9,0.035,31,185,3.15,0.49,5
6.8,0.26,0.24,1.9,0.043,70,154,3.18,0.52,5
6.7,0.17,0.42,10.4,0.038,85,182,3.04,0.44,6
6.5,0.27,0.4,10,0.039,74,227,3.18,0.5,5
6.7,0.25,0.36,8.6,0.037,63,206,3.18,0.5,5
5.8,0.3,0.27,1.7,0.014,45,104,3.4,0.56,7
6.4,0.28,0.56,1.7,0.156,49,106,3.1,0.37,6
7.7,0.3,0.26,18.95,0.053,36,174,3.2,0.5,5
6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,7
6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,7
6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,7
6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,7
6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,7
6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,7
5.1,0.14,0.25,0.7,0.039,15,89,3.22,0.43,6
6.8,0.18,0.3,12.8,0.062,19,171,3,0.52,7
7.2,0.615,0.1,1.4,0.068,25,154,3.2,0.48,4
6.9,0.13,0.28,13.3,0.05,47,132,3.34,0.42,6
6.7,0.34,0.3,8.5,0.059,24,152,3.46,0.64,7
7.3,0.32,0.29,1.5,0.038,32,144,3.2,0.55,5
6.3,0.21,0.29,11.7,0.048,49,147,3.22,0.38,5
5.4,0.5,0.13,5,0.028,12,107,3.48,0.88,7
8.2,0.52,0.34,1.2,0.042,18,167,3.24,0.39,5
7.8,0.28,0.31,2.1,0.046,28,208,3.23,0.64,5
6.4,0.22,0.34,1.4,0.023,56,115,3.18,0.7,6
7.8,0.28,0.31,2.1,0.046,28,208,3.23,0.64,5
6.9,0.32,0.27,16,0.034,58,185,3.34,0.6,6
6.8,0.11,0.42,1.1,0.042,51,132,3.18,0.74,7
6.2,0.26,0.32,15.3,0.031,64,185,3.31,0.61,5
6.4,0.22,0.34,1.4,0.023,56,115,3.18,0.7,6
6.7,0.3,0.29,2.8,0.025,37,107,3.31,0.63,7
6.7,0.3,0.29,2.8,0.025,37,107,3.31,0.63,7
7.1,0.2,0.3,0.9,0.019,4,28,3.2,0.36,6
7.2,0.2,0.36,2.5,0.028,22,157,3.48,0.49,6
8.9,0.26,0.33,8.1,0.024,47,202,3.13,0.46,6
7.5,0.25,0.32,8.2,0.024,53,209,3.12,0.46,6
7.1,0.2,0.3,0.9,0.019,4,28,3.2,0.36,6
6.3,0.27,0.46,11.1,0.053,44,177,3.18,0.67,5
6.5,0.3,0.39,7.8,0.038,61,219,3.19,0.5,5
6.7,0.3,0.29,2.8,0.025,37,107,3.31,0.63,7
6.6,0.36,0.52,10.1,0.05,29,140,3.07,0.4,5
6.15,0.21,0.37,3.2,0.021,20,80,3.39,0.47,5
6.5,0.18,0.41,14.2,0.039,47,129,3.28,0.72,7
6.5,0.18,0.41,14.2,0.039,47,129,3.28,0.72,7
6.5,0.18,0.41,14.2,0.039,47,129,3.28,0.72,7
6.6,0.26,0.21,2.9,0.026,48,126,3.22,0.38,7
6.6,0.35,0.35,6,0.063,31,150,3.1,0.47,6
6.5,0.28,0.28,20.4,0.041,40,144,3.14,0.38,5
6.6,0.36,0.52,10.1,0.05,29,140,3.07,0.4,5
6.6,0.26,0.21,2.9,0.026,48,126,3.22,0.38,7
6.5,0.18,0.41,14.2,0.039,47,129,3.28,0.72,7
6.15,0.21,0.37,3.2,0.021,20,80,3.39,0.47,5
4.5,0.19,0.21,0.95,0.033,89,159,3.34,0.42,5
8,0.24,0.26,1.7,0.033,36,136,3.44,0.51,7
7.8,0.17,0.23,1.7,0.029,39,128,3.37,0.41,7
7,0.24,0.24,9,0.03,42,219,3.47,0.46,6
5.8,0.6,0,1.3,0.044,72,197,3.56,0.43,5
5.9,0.445,0.26,1.4,0.027,23,109,3.3,0.36,6
6.7,0.28,0.28,2.4,0.012,36,100,3.26,0.39,7
6.8,0.44,0.2,16,0.065,61,186,3.13,0.45,5
7.2,0.24,0.27,11.4,0.034,40,174,3.2,0.44,5
8.7,0.31,0.73,14.35,0.044,27,191,2.96,0.88,5
8.2,0.32,0.26,2.1,0.062,26,87,3.1,0.47,6
7.2,0.24,0.27,11.4,0.034,40,174,3.2,0.44,5
8.7,0.31,0.73,14.35,0.044,27,191,2.96,0.88,5
7.5,0.13,0.38,1.1,0.023,42,104,3.28,0.53,6
9.2,0.14,0.37,1.1,0.034,36,84,3.05,0.55,6
7.4,0.2,0.37,1.2,0.028,28,89,3.14,0.61,6
6.1,0.15,0.35,15.8,0.042,55,158,3.24,0.37,5
7.6,0.23,0.4,5.2,0.066,14,91,3.17,0.8,5
8.1,0.33,0.22,5.2,0.047,24,151,3.22,0.47,5
7.15,0.17,0.24,9.6,0.119,56,178,3.15,0.44,6
6.7,0.12,0.3,5.2,0.048,38,113,3.33,0.44,7
5.7,0.18,0.36,1.2,0.046,9,71,3.7,0.68,7
5.8,0.15,0.28,0.8,0.037,43,127,3.24,0.51,5
6.6,0.23,0.29,14.45,0.057,29,144,3.33,0.54,6
7.15,0.17,0.24,9.6,0.119,56,178,3.15,0.44,6
7,0.34,0.39,6.9,0.066,43,162,3.11,0.53,5
6.4,0.68,0.26,3.4,0.069,25,146,3.18,0.4,5
7.3,0.22,0.31,2.3,0.018,45,80,3.06,0.34,7
6.4,0.28,0.27,11,0.042,45,148,3.14,0.46,5
6.9,0.4,0.22,5.95,0.081,76,303,3.4,0.57,5
6.8,0.19,0.23,5.1,0.034,71,204,3.23,0.69,5
7.1,0.23,0.24,5.4,0.039,60,196,3.19,0.78,4
6.45,0.14,0.42,1.2,0.05,51,129,3.27,0.69,7
6.5,0.15,0.44,12.6,0.052,65,158,3.26,0.7,7
7.1,0.15,0.34,1,0.033,27,73,3.24,0.41,6
6.7,0.33,0.34,6.6,0.067,35,156,3.11,0.48,6
7.2,0.3,0.26,1.5,0.041,46,178,3.19,0.56,6
7,0.23,0.33,1,0.043,46,110,3.04,0.65,6
8,0.13,0.25,1.1,0.033,15,86,2.98,0.39,8
6.2,0.21,0.34,6.6,0.03,36,91,3.32,0.45,7
8.3,0.4,0.41,8.2,0.05,15,122,3.39,0.49,5
5.9,0.34,0.31,2,0.03,38,142,3.4,0.41,7
6.6,0.12,0.25,1.4,0.039,21,131,3.2,0.45,7
9.6,0.655,0.21,2,0.039,21,120,3,1,6
6.8,0.26,0.4,7.5,0.046,45,179,3.2,0.49,5
5.9,0.34,0.31,2,0.03,38,142,3.4,0.41,7
5.9,0.3,0.3,2,0.03,38,142,3.41,0.41,7
7,0.15,0.3,13.3,0.049,46,120,3.2,0.36,7
7.9,0.37,0.31,2.85,0.037,5,24,3.19,0.36,6
7.2,0.35,0.25,5.6,0.032,23,120,2.93,0.66,7
7.2,0.32,0.24,5.6,0.033,23,120,2.92,0.66,7
7.6,0.1,0.33,1,0.031,33,93,3.06,0.68,6
6.2,0.25,0.31,3.2,0.03,32,150,3.18,0.31,6
7.1,0.31,0.17,1,0.042,21,144,3.13,0.4,5
7.6,0.18,0.28,7.1,0.041,29,110,3.2,0.42,6
8,0.17,0.29,2.4,0.029,52,119,3.03,0.33,6
7.2,0.19,0.27,11.2,0.061,46,149,2.99,0.59,6
7.6,0.32,0.25,9.5,0.03,15,136,3.1,0.44,6
7.1,0.31,0.17,1,0.042,21,144,3.13,0.4,5
6.6,0.21,0.29,1.8,0.026,35,128,3.37,0.48,6
7,0.16,0.36,2.6,0.029,28,98,3.11,0.37,7
8,0.17,0.29,2.4,0.029,52,119,3.03,0.33,6
6.6,0.24,0.38,8,0.042,56,187,3.21,0.46,5
7.2,0.19,0.27,11.2,0.061,46,149,2.99,0.59,6
7.6,0.18,0.28,7.1,0.041,29,110,3.2,0.42,6
6.9,0.3,0.25,3.3,0.041,26,124,3.18,0.5,6
6.2,0.28,0.27,10.3,0.03,26,108,3.2,0.36,6
6.9,0.31,0.32,1.2,0.024,20,166,3.05,0.54,6
6.7,0.23,0.25,1.6,0.036,28,143,3.3,0.54,6
6.2,0.28,0.27,10.3,0.03,26,108,3.2,0.36,6
5.7,0.23,0.28,9.65,0.025,26,121,3.28,0.38,6
6.5,0.22,0.5,16.4,0.048,36,182,3.02,0.49,6
7,0.18,0.37,1.5,0.043,16,104,3.18,0.5,5
6.9,0.31,0.32,1.2,0.024,20,166,3.05,0.54,6
6.9,0.3,0.25,3.3,0.041,26,124,3.18,0.5,6
6.5,0.46,0.31,5,0.027,15,72,3.26,0.6,7
6.5,0.23,0.36,16.3,0.038,43,133,3.26,0.41,5
6.5,0.23,0.36,16.3,0.038,43,133,3.26,0.41,5
6.5,0.23,0.36,16.3,0.038,43,133,3.26,0.41,5
6.6,0.26,0.38,6.5,0.17,68,201,3.19,0.38,6
6.7,0.26,0.39,6.4,0.171,64,200,3.19,0.38,6
7.5,0.28,0.39,10.2,0.045,59,209,3.16,0.63,6
6.5,0.23,0.36,16.3,0.038,43,133,3.26,0.41,5
6.8,0.23,0.42,7.4,0.044,56,189,3.22,0.48,6
7.8,0.25,0.34,13.7,0.044,66,184,3.22,0.75,5
7.8,0.25,0.34,13.7,0.044,66,184,3.22,0.75,5
5.6,0.2,0.22,1.3,0.049,25,155,3.74,0.43,5
6.4,0.21,0.44,7.4,0.045,47,182,3.24,0.46,5
6.8,0.23,0.42,7.4,0.044,56,189,3.22,0.48,6
6.8,0.24,0.37,7.45,0.043,59,188,3.2,0.5,6
7.8,0.25,0.28,7.2,0.04,46,179,3.14,0.6,6
7.8,0.25,0.34,13.7,0.044,66,184,3.22,0.75,5
6.8,0.16,0.29,10.4,0.046,59,143,3.2,0.4,6
5.2,0.28,0.29,1.1,0.028,18,69,3.24,0.54,6
7.5,0.18,0.31,6.5,0.029,53,160,3.03,0.38,6
7.5,0.26,0.3,4.6,0.027,29,92,3.15,0.38,7
8.2,0.37,0.64,13.9,0.043,22,171,2.99,0.8,5
7.6,0.4,0.27,5.2,0.03,32,101,3.22,0.62,7
7.5,0.26,0.25,1.7,0.038,29,129,3.45,0.56,6
7.5,0.18,0.31,6.5,0.029,53,160,3.03,0.38,6
6.9,0.23,0.32,16.4,0.045,62,153,3.22,0.42,5
5.3,0.2,0.31,3.6,0.036,22,91,3.41,0.5,6
6.5,0.17,0.31,1.5,0.041,34,121,3.06,0.46,6
6.5,0.35,0.28,12.4,0.051,86,213,3.16,0.51,6
6.5,0.29,0.31,1.7,0.035,24,79,3.27,0.69,7
6.8,0.3,0.22,6.2,0.06,41,190,3.18,0.51,5
7.9,0.51,0.36,6.2,0.051,30,173,3.09,0.53,5
7.9,0.51,0.34,2.6,0.049,13,135,3.09,0.51,5
6.5,0.29,0.31,1.7,0.035,24,79,3.27,0.69,7
7.1,0.29,0.28,9.3,0.048,50,141,3.13,0.49,6
6.5,0.35,0.28,12.4,0.051,86,213,3.16,0.51,6
6.5,0.17,0.31,1.5,0.041,34,121,3.06,0.46,6
7.4,0.2,0.28,9.1,0.047,29,95,3.16,0.47,7
6.9,0.615,0.42,12,0.067,24,131,3.19,0.34,5
6.8,0.32,0.28,4.8,0.034,25,100,3.08,0.47,7
6.3,0.2,0.19,12.3,0.048,54,145,3.16,0.42,6
6.9,0.615,0.42,12,0.067,24,131,3.19,0.34,5
8,0.23,0.28,2.7,0.048,49,165,3.26,0.72,6
6.7,0.27,0.33,3.6,0.034,9,45,3.08,0.4,6
6.7,0.27,0.33,3.6,0.034,9,45,3.08,0.4,6
6.7,0.44,0.22,4.3,0.032,19,99,3.26,0.53,7
7,0.34,0.3,1.8,0.045,44,142,2.99,0.45,6
7.3,0.26,0.33,11.8,0.057,48,127,3.1,0.55,6
5.8,0.17,0.34,1.8,0.045,96,170,3.38,0.9,8
7.3,0.26,0.33,11.8,0.057,48,127,3.1,0.55,6
5.8,0.17,0.34,1.8,0.045,96,170,3.38,0.9,8
6.8,0.17,0.36,1.4,0.036,38,108,3.19,0.66,6
7.1,0.43,0.3,6.6,0.025,15,138,3.18,0.46,6
5.8,0.315,0.27,1.55,0.026,15,70,3.37,0.4,8
5.9,0.17,0.28,0.7,0.027,5,28,3.13,0.32,5
6.6,0.34,0.18,6.4,0.082,47,240,3.42,0.48,5
8.6,0.33,0.34,11.8,0.059,42,240,3.17,0.52,6
5.6,0.12,0.26,4.3,0.038,18,97,3.36,0.46,5
5.8,0.13,0.26,5.1,0.039,19,103,3.36,0.47,6
7.7,0.18,0.35,5.8,0.055,25,144,3.24,0.54,6
7.7,0.16,0.36,5.9,0.054,25,148,3.25,0.54,6
6,0.26,0.15,1.3,0.06,51,154,3.14,0.51,5
7.3,0.32,0.35,1.4,0.05,8,163,3.24,0.42,5
7.7,0.3,0.34,1.2,0.048,4,119,3.18,0.34,6
7.9,0.16,0.3,7.4,0.05,58,152,3.12,0.37,6
6.4,0.27,0.29,10.8,0.028,17,118,3.18,0.37,6
6.9,0.16,0.37,1.8,0.034,36,95,2.93,0.59,6
7.9,0.16,0.3,7.4,0.05,58,152,3.12,0.37,6
7.7,0.3,0.34,1.2,0.048,4,119,3.18,0.34,6
7.3,0.32,0.35,1.4,0.05,8,163,3.24,0.42,5
6.4,0.44,0.44,14.4,0.048,29,228,3.26,0.54,7
6.3,0.2,0.24,1.7,0.052,36,135,3.8,0.66,6
6.2,0.29,0.32,3.6,0.026,39,138,3.31,0.37,7
7.6,0.39,0.32,3.6,0.035,22,93,3.08,0.6,7
7,0.36,0.32,10.05,0.045,37,131,3.09,0.33,8
7,0.36,0.32,10.05,0.045,37,131,3.09,0.33,8
7,0.36,0.32,10.5,0.045,35,135,3.09,0.33,8
7.6,0.2,0.36,1.9,0.043,24,111,3.29,0.54,6
7.6,0.39,0.32,3.6,0.035,22,93,3.08,0.6,7
6.7,0.2,0.37,1.65,0.025,42,103,3.11,0.45,5
6.2,0.235,0.34,1.9,0.036,4,117,3.4,0.44,5
7.8,0.965,0.6,65.8,0.074,8,160,3.39,0.69,6
7.1,0.2,0.31,6.85,0.053,32,211,3.31,0.59,6
7.1,0.2,0.31,7.4,0.053,32,211,3.31,0.59,6
7.1,0.2,0.31,7.4,0.053,32,211,3.31,0.59,6
6.4,0.24,0.25,20.2,0.083,35,157,3.17,0.5,5
8,0.3,0.36,11,0.034,8,70,3.05,0.41,6
6.4,0.24,0.25,20.2,0.083,35,157,3.17,0.5,5
6.9,0.4,0.42,6.2,0.066,41,176,3.12,0.54,5
6.9,0.4,0.43,6.2,0.065,42,178,3.11,0.53,5
7.1,0.2,0.31,6.85,0.053,32,211,3.31,0.59,6
6.6,0.25,0.51,8,0.047,61,189,3.22,0.49,5
6.8,0.26,0.44,8.2,0.046,52,183,3.2,0.51,5
6.5,0.37,0.3,2.2,0.033,39,107,3.22,0.53,7
6.8,0.35,0.53,10.1,0.053,37,151,3.07,0.4,5
6.4,0.22,0.32,7.2,0.028,15,83,3.13,0.55,8
6.5,0.37,0.3,2.2,0.033,39,107,3.22,0.53,7
6.8,0.35,0.53,10.1,0.053,37,151,3.07,0.4,5
6.9,0.31,0.32,1.6,0.036,34,114,3.19,0.45,7
6.7,0.16,0.37,1.3,0.036,45,125,3.19,0.51,7
6.6,0.25,0.51,8,0.047,61,189,3.22,0.49,5
6.8,0.26,0.44,8.2,0.046,52,183,3.2,0.51,5
5.6,0.15,0.31,5.3,0.038,8,79,3.3,0.39,6
5.5,0.15,0.32,14,0.031,16,99,3.26,0.38,8
